UUID,Designator,Qty,Self Sourced,Value,Device,Package,Parts,Description
L-2020-48,U,1,,MICROCHIP_ATMEGA328PB-AUMICROCHIP_ATMEGA328PB-AU_0_0,MICROCHIP_ATMEGA328PB-AUMICROCHIP_ATMEGA328PB-AU_0_0,MICROCHIP_ATMEGA328PB-AU_0,328PB,ATmega328PB Summary Datasheet
R-2019-44,C,2,,4700pF,C-EUC0805K,C0805K,"C2, C7","CAPACITOR, European symbol"
R-2019-01,C,5,,100nF,C-EUC0805K,C0805K,"C3, C4, C8, C9, C10","CAPACITOR, European symbol"
R-2019-21,C,2,,10uF,C-EUC0805K,C0805K,"C5, C6","CAPACITOR, European symbol"
R-2019-14,D,1,,U57X32,U57X32,U57X32,GREEN,GREEN LED
R-2019-02,R,2,,330,R-US_R0805,R0805,"R1, R2","RESISTOR, American symbol"
R-2019-03,R,1,,10k,R-US_R0805,R0805,R3,"RESISTOR, American symbol"
R-2019-15,D,1,,U57X32,U57X32,U57X32,RED1,RED LED
L-2020-58,U,1,,TLV1117-33IDCY,TLV1117-33IDCY,SOT230P700X180-4N,U1,3.3v regulator
L-2020-49,U,1,,ADXL327BCPZ,ADXL327,CP_16_5A_ADI-M,U2,Accelerometer
