AF1, 2.54, 2.54, 0.00, FIDUCIAL, FIDUCIAL_1MM
AF2, 97.16, 96.52, 0.00, FIDUCIAL, FIDUCIAL_1MM
C1, 51.44, 26.04, 90.00, 0.1uF, C0805
C10, 81.92, 29.21, 270.00, 470uF, 140CLH-0810
C11, 74.30, 27.30, 180.00, 47uF, C0805
C12, 85.09, 45.09, 90.00, 470uF, 140CLH-0810
C13, 71.12, 33.02, 180.00, 4.7uF, C0805
C14, 71.12, 30.48, 180.00, 0.1uF, C0805
C15, 57.15, 45.72, 90.00, 0.1uF, C0805
C16, 8.26, 21.59, 270.00, 680uF, 140CLH-0810
C17, 29.85, 21.59, 270.00, 220uF, 140CLH-0810
C2, 65.41, 29.21, 270.00, 22pF, C0805
C3, 65.41, 34.29, 90.00, 22pF, C0805
C4, 48.90, 29.85, 180.00, 0.1uF, C0805
C5, 53.98, 26.04, 270.00, 0.1uF, C0805
C6, 54.61, 56.52, 0.00, 0.1uF, C0805
C7, 68.58, 57.15, 270.00, 0.1uF, C0805
C8, 71.76, 41.91, 180.00, 47nF, C0805
C9, 71.76, 44.45, 180.00, 47nF, C0805
D1, 9.53, 6.35, 180.00, SS34, SMA
IC1, 48.26, 53.98, 270.00, 74LS595D, SO16
IC2, 62.87, 53.98, 270.00, 74LS595D, SO16
IC3, 19.05, 18.06, 0.00, , TO263-5
JP1, 40.64, 21.59, 270.00, JUMPER-SMT_3_1-NC_TRACE_SILK, SMT-JUMPER_3_1-NC_TRACE_SILK
JP2, 40.64, 25.40, 270.00, JUMPER-SMT_3_1-NC_TRACE_SILK, SMT-JUMPER_3_1-NC_TRACE_SILK
L1, 18.41, 6.35, 90.00, SLD10D40S100MTT, SMD10.5X10.3
Q1, 60.96, 31.75, 90.00, 16MHz, HC49UP
Q10, 78.74, 70.48, 90.00, AO3414SOT23, SOT95P240X110-3N
Q11, 21.59, 70.48, 90.00, AO3415, SOT95P240X110-3N
Q12, 52.07, 70.48, 90.00, AO3415, SOT95P240X110-3N
Q13, 82.55, 70.48, 90.00, AO3415, SOT95P240X110-3N
Q14, 27.94, 70.48, 90.00, AO3414SOT23, SOT95P240X110-3N
Q15, 58.42, 70.48, 90.00, AO3414SOT23, SOT95P240X110-3N
Q16, 88.90, 70.48, 90.00, AO3414SOT23, SOT95P240X110-3N
Q17, 31.75, 70.48, 90.00, AO3415, SOT95P240X110-3N
Q18, 62.23, 70.48, 90.00, AO3415, SOT95P240X110-3N
Q19, 92.71, 70.48, 90.00, AO3415, SOT95P240X110-3N
Q2, 7.62, 70.48, 90.00, AO3414SOT23, SOT95P240X110-3N
Q20, 19.05, 50.16, 270.00, AO3414SOT23, SOT95P240X110-3N
Q21, 13.97, 50.16, 270.00, AO3414SOT23, SOT95P240X110-3N
Q22, 8.89, 50.16, 270.00, AO3414SOT23, SOT95P240X110-3N
Q23, 39.37, 50.16, 270.00, AO3414SOT23, SOT95P240X110-3N
Q24, 34.29, 50.16, 270.00, AO3414SOT23, SOT95P240X110-3N
Q25, 24.13, 50.16, 270.00, AO3414SOT23, SOT95P240X110-3N
Q26, 29.21, 50.16, 270.00, AO3414SOT23, SOT95P240X110-3N
Q3, 38.10, 70.48, 90.00, AO3414SOT23, SOT95P240X110-3N
Q4, 68.58, 70.48, 90.00, AO3414SOT23, SOT95P240X110-3N
Q5, 11.43, 70.48, 90.00, AO3415, SOT95P240X110-3N
Q6, 41.91, 70.48, 90.00, AO3415, SOT95P240X110-3N
Q7, 72.39, 70.48, 90.00, AO3415, SOT95P240X110-3N
Q8, 17.78, 70.48, 90.00, AO3414SOT23, SOT95P240X110-3N
Q9, 48.26, 70.48, 90.00, AO3414SOT23, SOT95P240X110-3N
R1, 83.82, 51.44, 0.00, 10K, R0805
R10, 5.71, 66.04, 90.00, 10K, R0805
R11, 36.20, 66.04, 90.00, 10K, R0805
R12, 66.67, 66.04, 90.00, 10K, R0805
R13, 10.79, 66.04, 90.00, 1K, R0805
R14, 41.27, 66.04, 90.00, 1K, R0805
R15, 71.76, 66.04, 90.00, 1K, R0805
R16, 13.34, 66.04, 90.00, 10K, R0805
R17, 43.82, 66.04, 90.00, 10K, R0805
R18, 74.30, 66.04, 90.00, 10K, R0805
R19, 18.41, 66.04, 90.00, 1K, R0805
R2, 80.01, 60.33, 0.00, 10K, R0805
R20, 48.90, 66.04, 90.00, 1K, R0805
R21, 79.38, 66.04, 90.00, 1K, R0805
R22, 15.88, 66.04, 90.00, 10K, R0805
R23, 46.36, 66.04, 90.00, 10K, R0805
R24, 76.84, 66.04, 90.00, 10K, R0805
R25, 20.96, 66.04, 90.00, 1K, R0805
R26, 51.44, 66.04, 90.00, 1K, R0805
R27, 81.92, 66.04, 90.00, 1K, R0805
R28, 23.50, 66.04, 90.00, 10K, R0805
R29, 53.98, 66.04, 90.00, 10K, R0805
R3, 74.30, 60.33, 0.00, 10K, R0805
R30, 84.45, 66.04, 90.00, 10K, R0805
R31, 28.58, 66.04, 90.00, 1K, R0805
R32, 59.05, 66.04, 90.00, 1K, R0805
R33, 89.54, 66.04, 90.00, 1K, R0805
R34, 26.04, 66.04, 90.00, 10K, R0805
R35, 56.52, 66.04, 90.00, 10K, R0805
R36, 87.00, 66.04, 90.00, 10K, R0805
